"Data Modeler (Remote, UAE Time Zone, USD Salary)
Data Modeler (Remote, UAE Time Zone, USD Salary)",HR POD Careers,"Cairo, Cairo, Egypt (On-site)",Not Available
"Data Scientist
Data Scientist with verification",Xebia,"Cairo, Egypt (On-site)",Easy Apply
"Senior Data Analyst
Senior Data Analyst",Nawy,"Qesm El Maadi, Cairo, Egypt (On-site)",Easy Apply
"Senior Data Scientist (m/f/d)
Senior Data Scientist (m/f/d)",sonnen Egypt,"Cairo, Cairo, Egypt (On-site)",Not Available
"Data Analytics - Senior Data Analyst - Cairo
Data Analytics - Senior Data Analyst - Cairo",Infomineo,"Cairo, Cairo, Egypt (Hybrid)",Easy Apply
"Decision Support Lead
Decision Support Lead",On-Hire,"Sheikh Zayed City, Cairo, Egypt (On-site)",Easy Apply
"Reporting Analyst
Reporting Analyst with verification",Ericsson,"Smart Village, Egypt",Not Available
"Purchasing Data Analyst
Purchasing Data Analyst with verification",Henkel,"Cairo, Cairo, Egypt (Hybrid)",Not Available
"BI Reporting & Data Modeling
BI Reporting & Data Modeling",Advansys,"6th of October, Cairo, Egypt (Hybrid)",Easy Apply
"Contact Profiler - B2B ( Attaching CV is Mandatory )
Contact Profiler - B2B ( Attaching CV is Mandatory )",Concentrix Trust & Safety,"Cairo, Cairo, Egypt",Not Available
"Data Governance Senior Analyst
Data Governance Senior Analyst",Halan - حالا,"Giza, Al Jizah, Egypt (On-site)",Easy Apply
"Senior, BI Analyst
Senior, BI Analyst with verification",Orange Egypt,"Giza, Al Jizah, Egypt (On-site)",Not Available
"BI & Reporting Senior Associate
BI & Reporting Senior Associate with verification",PepsiCo,"New Cairo, Cairo, Egypt (On-site)",Not Available
"Product Analyst
Product Analyst",MaxAB,"Cairo, Cairo, Egypt (On-site)",Not Available
"Data Scientist - Artificial Intelligence
Data Scientist - Artificial Intelligence with verification",IBM,"Giza, Al Jizah, Egypt (Hybrid)",Not Available
"Senior Data Scientist - Jumia (Full Time)
Senior Data Scientist - Jumia (Full Time)",Jumia Group,"Cairo, Cairo, Egypt (On-site)",Not Available
"Senior Data Analytics & Insights Analyst
Senior Data Analytics & Insights Analyst with verification",Coca-Cola HBC,"Cairo, Egypt (On-site)",Not Available
"Business Research - Research Analyst - Cairo - German Speaker
Business Research - Research Analyst - Cairo - German Speaker",Infomineo,"Cairo, Cairo, Egypt (Hybrid)",Easy Apply
"Senior Specialist, Research and Creativity Metrics, Office of the Associate Provost for Research, Innovation and Creativity
Senior Specialist, Research and Creativity Metrics, Office of the Associate Provost for Research, Innovation and Creativity with verification",The American University in Cairo,"New Cairo, Cairo, Egypt (On-site)",Easy Apply
"CX Intelligence Analyst
CX Intelligence Analyst with verification",DiDi,"Cairo, Cairo, Egypt (On-site)",Not Available
"Senior Data Scientist (VOIS)
Senior Data Scientist (VOIS) with verification",Vodafone,"Giza, Al Jizah, Egypt (Hybrid)",Not Available
"מתמטיקאי שימושי - עברית
מתמטיקאי שימושי - עברית",Outlier,Egypt (Remote),Not Available
"Senior Data Analyst
Senior Data Analyst",Bosta,"Cairo, Cairo, Egypt (Hybrid)",Not Available
"Business Intelligence Analyst
Business Intelligence Analyst",Ecolab Life Sciences,"Cairo, Cairo, Egypt (On-site)",Not Available
"Data Scientist ""Senior/Lead""
Data Scientist ""Senior/Lead""",Banque Misr,"Cairo, Cairo, Egypt (On-site)",Easy Apply
"Investigative Analyst
Investigative Analyst",City of Eagan,"Alexandria Port Police Department, Alexandria, Egypt (On-site)",Not Available
"Sustainability Data Analyst
Sustainability Data Analyst with verification",Henkel,"Cairo, Cairo, Egypt (Hybrid)",Not Available
"Senior Data Analyst I
Senior Data Analyst I with verification",Careem,Egypt,Not Available
"Data Engineer - Senior Analyst
Data Engineer - Senior Analyst with verification",Accenture,"Cairo, Cairo, Egypt (Hybrid)",Not Available
"Capabilities & Insights Analyst
Capabilities & Insights Analyst with verification",McKinsey & Company,"Cairo, Cairo, Egypt",Not Available
"Team Lead Data Scientist
Team Lead Data Scientist",SWATX,"Cairo, Cairo, Egypt (On-site)",Easy Apply
"Digital Transformation Associate
Digital Transformation Associate with verification",AtkinsRéalis,"Cairo, Cairo, Egypt (On-site)",Not Available
"Trans Planning Data Analyst, Supply Chain Transportation Planning
Trans Planning Data Analyst, Supply Chain Transportation Planning with verification",Amazon,"Cairo, Cairo, Egypt",Not Available
"Senior BI Analyst - Extraction
Senior BI Analyst - Extraction",Advansys,"6th of October, Cairo, Egypt (Hybrid)",Easy Apply
"Senior Data Analyst
Senior Data Analyst",Halan - حالا,"Cairo, Cairo, Egypt (On-site)",Easy Apply
"BI and Reporting Assistant Analyst
BI and Reporting Assistant Analyst with verification",PepsiCo,"New Cairo, Cairo, Egypt (On-site)",Not Available
"Data Scientist - Artificial Intelligence
Data Scientist - Artificial Intelligence with verification",IBM,"Giza, Al Jizah, Egypt (Hybrid)",Not Available
"अनुप्रयुक्त गणितज्ञ - भारत
अनुप्रयुक्त गणितज्ञ - भारत",Outlier,Egypt (Remote),Not Available
